PLOTID,IDENT,elev,perSlope,aspect,Northness,Sdclass,Rockiness,VallyBotFlat,topowet,PPTann,pptColdQtr,pptWarmQtr,cvTemp,TempColdMin,TempColdMean,TempWarmMean,cvRad,annMeanRad,miAnnMean,miColdQtr,miWarmQtr,T0,T1,T2,GeolID,GeolClass,SOIL,K,Thor,Uran,THtoK,TotalC,ALA,ARE,ARO,BAX,CAM,GON,LEU,MEL,OBL,OVA,PAU,RAD,RUB,SAB,SER,VER,VIC,VIMcyg,VIMvim,WIL
72,GHAM4,536.47174,45.810905,249.742858,-0.346234001,10,90,0.00,8.35,864,299,128,148,22,62,169,46,153,72.00,22.09,27.83,3002.08,5231.40,7956.20,2688,Ssr, ,-0.52,3.32,7.82,-1.72,1120.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,GHAM5,506.599426,43.353155,323.812591,0.807090081,15,80,0.00,9.87,850,295,126,147,23,64,171,46,153,71.96,23.04,26.54,9083.51,7711.22,5261.96,2688,Ssr, ,-0.32,0.06,7.21,-0.02,1126.43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,GHAM6,481.678192,37.0622875,345.599823,0.968582393,15,70,0.00,9.13,833,289,123,147,24,66,173,46,154,71.00,24.00,25.24,10622.16,7750.39,3741.53,2688,Ssr, ,0.53,-1.23,8.04,-0.66,1087.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,GHAM7,421.204742,62.61545,294.800811,0.419464932,10,60,0.00,6.41,801,280,118,147,27,70,177,45,155,69.00,27.00,23.00,6681.62,7366.72,7260.17,2688,Ssr, ,-0.12,-0.67,4.96,0.08,991.20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,GHAM8,376.674346,40.981265,297.681274,0.464552647,20,50,0.00,6.66,784,275,115,147,28,72,179,45,155,68.11,28.00,21.11,6922.16,7429.79,7098.22,2688,Ssr,sandy loam,-0.56,1.38,2.23,-0.77,995.99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,GMOR1,250.631973,4.38373,339.348236,0.935741282,100,0,1.68,10.42,764,279,106,149,31,79,187,46,156,66.00,31.00,18.00,10364.01,8246.10,4485.05,2688,Ssr,loamy sand,0.02,-0.43,2.88,-0.01,838.89,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,GMOR2,249.28302,1.163683359,348.63977,0.980408136,100,0,2.84,14.75,762,278,106,149,31,79,187,46,156,66.00,31.00,18.00,10768.69,8137.83,3950.56,3417,Qrcp,loamy sand,-0.19,-2.44,2.10,0.45,833.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,GMOR3,248.880935,0.860943594,359.178527,0.999897221,100,0,3.80,15.52,762,278,106,149,31,79,188,46,156,66.00,31.00,18.00,10883.29,8010.12,3621.20,3417,Qrcp,loamy sand,-0.35,-2.15,0.58,0.76,803.68,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80,GMOR4,248.402679,0.839818359,346.131591,0.970848788,100,0,3.95,12.42,761,278,106,149,31,79,188,46,156,66.00,31.00,18.00,10689.72,8178.80,4080.84,3417,Qrcp,loamy sand,-0.55,-1.75,1.64,0.96,788.63,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,GMOR5,247.846893,0.824551484,337.548522,0.924203284,100,0,3.98,12.83,761,278,105,149,31,79,188,46,156,66.00,31.00,18.00,10259.81,8268.88,4620.77,3417,Qrcp,sandy loam,-0.77,0.32,1.08,-0.25,782.96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
82,GMOR6,247.225204,0.791795234,342.460388,0.953508827,100,0,3.98,13.11,760,278,105,149,31,79,188,46,156,66.00,31.00,18.00,10535.03,8220.93,4292.46,3417,Qrcp,sandy clay loam,-0.38,4.92,1.36,-1.86,856.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
83,GMOR7,246.815979,0.804342813,341.849243,0.950240138,100,0,3.97,13.31,760,278,105,149,31,79,188,45,157,66.00,31.00,18.00,10504.89,8229.53,4327.29,3417,Qrcp,sandy clay loam,-0.15,5.36,0.84,-0.78,884.89,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
84,GMOR8R,246.667037,0.776261641,336.596405,0.917729705,100,0,3.98,13.37,759,278,105,149,31,79,188,45,157,66.00,31.00,18.00,10198.14,8281.32,4692.43,3417,Qrcp,sandy loam,0.05,5.57,1.14,0.28,904.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,GMOR9,246.075775,0.785464531,323.375732,0.802564868,100,0,3.99,12.79,759,277,105,149,31,79,188,45,157,66.00,31.00,18.00,9105.58,8313.75,5765.18,3417,Qrcp,sandy loam,0.19,4.15,1.60,0.79,893.24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,GMOR10,245.511657,0.729214219,337.376556,0.923052896,100,0,3.99,12.83,759,277,105,149,31,79,188,45,157,66.00,31.00,18.00,10249.67,8272.63,4634.17,3417,Qrcp,sandy loam,0.13,2.49,1.93,0.33,856.62,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,GNLS1,242.943679,2.503081875,202.757186,-0.922152463,100,0,2.74,9.79,754,274,106,148,32,79,187,45,156,66.00,31.59,18.00,1389.36,2326.92,5217.03,3417,Qrcp,sandy clay loam,-0.10,1.79,6.04,-0.17,697.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,GNLS2,240.371368,2.929323125,223.729888,-0.722606653,100,0,2.68,10.81,752,273,105,148,32,80,188,45,156,66.00,32.00,18.00,1503.21,3415.69,6386.97,3417,Qrcp,sandy clay loam,0.26,0.72,5.13,0.19,629.37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,GNLS3,239.99205,1.813820781,213.173324,-0.837019159,100,0,2.74,12.60,752,273,105,148,32,80,188,45,156,66.00,32.00,18.00,1403.89,3017.48,6173.97,3417,Qrcp, ,0.22,1.99,4.69,0.43,648.81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,GNLS4,240.06285,2.564382813,224.976837,-0.707392586,100,0,2.71,10.30,751,273,105,148,32,80,188,45,157,66.00,32.00,18.00,1532.52,3487.93,6441.72,3417,Qrcp,sandy clay loam,0.26,0.72,5.13,0.19,629.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,GNLS5,237.114852,2.273159688,221.692764,-0.74672219,100,0,2.95,12.61,749,272,105,148,32,80,188,45,157,66.00,32.00,18.00,1499.69,3535.38,6741.26,3417,Qrcp,sandy clay loam,-0.55,2.02,1.77,-1.10,659.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,GNLS6,236.491851,2.839147188,210.96701,-0.857463709,100,0,2.94,13.87,748,271,105,148,32,80,188,45,157,65.00,32.00,18.00,1400.40,2888.92,6002.79,3417,Qrcp,sandy clay loam,-0.50,2.63,1.90,-1.33,683.77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,GNLS7,235.896911,3.58393375,203.205062,-0.919100531,100,0,2.89,14.37,747,271,105,148,32,80,188,45,157,65.00,32.00,18.00,1415.61,2453.92,5424.59,3417,Qrcp,sandy clay loam,-0.35,1.56,3.15,-0.54,699.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,GNLS8,237.411911,5.627669375,181.508087,-0.99965362,100,0,1.56,10.08,748,272,105,148,32,80,188,45,157,65.00,32.00,18.00,1321.65,1681.48,4448.79,3417,Qrcp,sandy clay loam,-0.21,-0.62,4.58,0.13,692.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,GVVG1,220.385116,0.091478799,138.766433,-0.752028883,100,0,5.99,12.70,716,255,103,146,33,81,187,45,157,65.00,33.00,18.00,1511.18,3544.07,6783.72,3857,Czss,sandy loam,0.26,0.32,4.98,0.08,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,GVVG2,220.349502,0.160060342,229.754943,-0.646058132,100,0,5.99,12.50,715,254,103,146,33,81,187,45,157,65.00,33.00,18.00,1820.02,4171.30,7344.87,3857,Czss,sandy loam,0.25,1.56,5.49,0.39,611.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,VVG3,220.105957,0.26257959,241.401657,-0.478666466,100,0,5.99,13.26,715,254,103,146,33,81,187,45,157,65.00,33.00,18.00,2492.28,5118.25,8032.71,3857,Czss,sandy loam,0.08,3.31,5.00,0.26,647.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,VVG4,219.927474,0.249704512,252.71791,-0.297076412,100,0,5.99,13.54,714,254,103,146,33,81,187,45,157,65.00,33.00,18.00,3260.15,5944.45,8431.78,3857,Czss,sandy loam,0.05,4.76,3.03,0.25,727.45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,GVV5,219.625244,0.660098359,255.331451,-0.25322695,100,0,5.99,13.15,713,253,103,146,33,81,187,45,157,65.00,33.00,18.00,3441.88,6107.38,8459.63,3857,Czss,sandy clay loam,0.05,4.80,3.58,0.26,779.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,GVVG6,219.076721,0.494630703,239.494537,-0.507620515,100,0,5.99,14.08,713,253,103,146,33,81,188,45,157,65.00,33.00,18.00,2360.92,4960.06,7926.36,3857,Czss,silty clay loam,-0.04,4.79,3.70,-0.20,803.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,GVVG7,218.89241,0.205229941,261.042938,-0.155694238,100,0,5.99,12.16,713,253,103,146,33,81,188,45,157,65.00,33.00,18.00,3861.39,6462.05,8418.38,3857,Czss,silty clay loam,0.09,5.86,4.19,0.51,807.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,GHOR1,238.741729,1.292426328,204.996292,-0.906335136,100,0,3.53,16.12,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,1415.06,2552.76,5557.88,3417,Qrcp,loamy sand,-0.70,3.42,2.18,-2.41,847.83,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
103,GHOR2,238.383605,1.297070547,208.786712,-0.876418384,100,0,3.55,13.81,735,263,105,147,32,80,187,45,157,66.00,32.00,18.00,1407.89,2759.50,5834.07,3417,Qrcp,loamy sand,-0.43,4.38,1.88,-1.90,841.16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
104,GHOR3,238.383605,1.297070547,208.786712,-0.876418384,100,0,3.55,13.81,735,263,105,147,32,80,187,45,157,66.00,32.00,18.00,1407.89,2759.50,5834.07,3417,Qrcp,loamy sand,-0.43,4.38,1.88,-1.90,841.16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
105,GHOR4,237.241485,1.447119219,215.561569,-0.813491036,100,0,3.52,12.31,734,262,105,147,32,80,187,45,157,65.00,32.00,18.00,1400.58,3013.32,6229.56,3417,Qrcp,loamy sand,-0.18,2.59,3.64,-0.45,940.53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,GHOR5,239.161437,0.868252344,238.048477,-0.529201555,100,0,3.53,19.99,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,2243.61,4459.20,7530.72,3417,Qrcp,loamy sand,-0.55,2.87,4.57,-1.58,927.85,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107,GHOR6,239.151977,0.819557188,290.148132,0.344448471,100,0,3.53,14.13,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,6287.91,7234.33,7492.76,3417,Qrcp,loamy sand,-0.55,2.87,4.57,-1.58,927.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,GHOR7,239.31488,0.844848594,300.145019,0.502190358,100,0,3.52,15.36,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,7127.33,7483.95,6959.56,3417,Qrcp,loamy sand,-0.47,3.38,4.40,-1.58,926.43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
109,GHOR8,239.631439,0.807145313,296.539978,0.446822143,100,0,3.49,10.78,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,6834.61,7415.41,7174.06,3417,Qrcp,loamy sand,-0.33,2.72,4.32,-0.90,912.66,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
110,GHOR9,239.469497,0.957413984,268.623229,-0.024026875,100,0,3.48,13.95,735,263,106,147,32,80,187,45,157,66.00,32.00,18.00,4359.98,6214.41,7915.94,3417,Qrcp,loamy sand,-0.32,1.88,6.09,-0.61,932.64,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
111,GHOR10,239.916198,1.123986016,245.340927,-0.41721801,100,0,3.43,13.18,736,263,106,147,32,80,187,45,157,66.00,32.00,18.00,2702.88,4959.09,7810.44,3417,Qrcp,loamy sand,-0.41,0.74,5.64,-0.30,915.82,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112,GHOR11,240.343276,1.064954063,267.266265,-0.047694576,100,0,3.41,14.01,736,263,106,147,32,80,187,45,157,66.00,32.00,18.00,4264.21,6156.51,7945.33,3417,Qrcp,loamy sand,-0.54,2.97,5.78,-1.60,900.92,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
113,GHOR12,240.934005,1.108542734,266.750122,-0.056690662,100,0,2.91,13.75,736,263,106,147,32,80,187,45,157,66.00,32.00,18.00,4227.16,6133.60,7955.37,3417,Qrcp,loamy sand,-0.85,5.96,4.21,-5.06,862.42,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
114,GMNT1,370.306671,3.871214375,275.87149,0.102297567,100,0,0.61,11.43,751,257,114,145,28,72,178,45,155,68.00,28.00,22.00,5060.47,7248.33,8392.00,3921,Qrcp,sandy loam,-1.18,2.80,3.16,-3.31,778.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115,GMNT2,371.911132,3.549931875,275.374481,0.09366489,100,0,0.00,11.26,752,257,115,145,28,72,178,45,155,68.00,28.00,22.00,5016.21,7221.07,8394.87,3921,Qrcp,sandy loam,-0.98,4.71,2.88,-4.61,810.90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
116,GMNT3,373.222137,3.279558438,251.407379,-0.318837246,100,0,0.00,9.19,752,257,115,145,28,72,178,45,155,68.00,28.00,22.00,3161.26,5834.35,8372.45,3921,Qrcp,sandy loam,-0.77,6.28,3.79,-4.82,845.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,GMNT4,374.200988,4.350247188,252.223159,-0.305310429,100,0,1.60,18.01,753,257,115,145,28,72,178,45,155,68.00,28.00,22.00,3216.84,5889.41,8391.25,3921,Qrcp,sandy loam,-0.48,7.46,4.29,-3.60,849.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
118,GMNT5,376.271057,5.872575625,290.135406,0.344239943,100,0,0.56,8.45,753,257,115,145,28,72,178,45,155,68.00,28.00,22.00,6344.60,7909.68,8047.63,3921,Qrcp,sandy loam,-0.50,7.02,4.29,-3.48,843.97,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
119,GMNT6,379.984191,5.75303375,299.814239,0.497189601,100,0,0.00,9.08,755,258,115,145,28,72,177,45,155,68.00,28.00,22.00,7156.45,8150.23,7532.99,3921,Qrcp,sandy loam,-0.48,6.58,3.60,-3.19,823.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
120,GMNT7,381.230926,3.89544125,273.066925,0.053502381,100,0,0.00,11.34,756,258,115,145,28,72,177,45,155,68.56,28.00,22.00,4805.37,7086.64,8398.81,3921,Qrcp,sandy loam,-0.58,4.61,3.02,-2.69,790.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
121,GMNT8,382.786376,3.934623438,266.53421,-0.060452565,100,0,0.00,10.97,756,258,115,145,28,72,177,45,155,69.00,28.00,22.00,4263.51,6728.25,8453.10,3921,Qrcp,sandy loam,-0.55,3.52,2.84,-1.95,799.90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
122,GMNT9,384.523071,4.631423125,268.838806,-0.020265271,100,0,0.00,10.48,757,258,116,145,28,71,177,45,155,69.00,28.00,22.00,4427.48,6838.62,8413.33,3921,Qrcp,sandy loam,-0.53,1.58,3.15,-0.84,781.16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
123,GMNT10,386.532196,5.123700625,271.476318,0.025763759,100,0,0.00,10.22,757,258,116,145,28,71,177,45,155,69.00,28.00,22.00,4655.32,6987.00,8394.41,3921,Qrcp,sandy loam,-0.37,0.76,3.84,-0.28,776.06,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
124,GMT11,387.533355,5.32095875,260.284332,-0.168758922,100,0,0.00,9.92,758,259,116,145,28,71,177,45,155,69.00,28.00,22.00,3798.15,6399.23,8490.70,2688,Ssr,sandy loam,-0.37,0.76,3.84,-0.28,776.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
125,GMNT12,389.352813,4.99963375,239.464965,-0.508065134,100,0,0.00,9.15,758,259,116,145,28,71,177,45,155,69.00,28.00,22.00,2355.52,4949.92,7911.74,2688,Ssr,sandy clay loam,0.23,2.17,3.76,0.51,804.58,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
126,GMNT13,390.372528,1.987367188,204.285064,-0.91151052,100,0,0.00,10.05,759,259,116,145,28,71,177,45,155,69.00,28.00,22.00,1415.34,2513.61,5504.01,2688,Ssr,sandy clay loam,0.54,4.44,3.60,2.40,804.29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
127,GMNT14,390.433135,6.2846625,312.890319,0.680597085,100,0,0.00,8.09,759,259,116,145,28,71,177,45,155,69.00,28.00,22.00,8183.12,8233.53,6537.06,2688,Ssr,silty clay loam,0.59,6.46,3.46,3.78,805.24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
128,GMNT15,401.449493,38.17766,305.582519,0.581874865,100,0,0.00,8.63,764,260,117,145,27,71,176,45,155,69.00,27.57,22.97,7619.39,8224.95,7137.89,2688,Ssr,silty clay loam,0.54,7.17,3.18,3.85,799.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
129,GMNT16,365.200012,7.1448975,288.588378,0.318767055,100,0,0.56,12.21,748,256,114,145,29,73,178,45,155,68.00,29.00,22.00,6210.64,7850.57,8109.27,3921,Qrcp,silty clay loam,-0.88,2.44,4.77,-2.15,760.87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
130,GMNT17,362.532196,5.920359375,292.411956,0.381263295,100,0,0.57,9.91,748,255,114,145,29,73,178,45,156,68.00,29.00,21.01,6533.10,7985.85,7945.87,3921,Qrcp,silty clay loam,-0.81,0.90,5.94,-0.73,746.06,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
131,GMNT18,361.443847,2.45838625,247.132247,-0.38860543,100,0,1.88,10.28,747,255,114,145,29,73,178,45,156,68.00,29.00,21.00,2859.03,5542.16,8243.96,2688,Ssr,silty clay loam,-0.81,0.90,5.94,-0.73,746.06,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
132,GMNT19,361.443847,2.45838625,247.132247,-0.38860543,100,0,1.88,10.28,747,255,114,145,29,73,178,45,156,68.00,29.00,21.00,2859.03,5542.16,8243.96,2688,Ssr,sandy clay loam,-0.81,0.90,5.94,-0.73,746.06,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
133,GMNT20,361.208129,7.406039375,182.32312,-0.99917812,100,0,1.86,11.32,748,256,114,145,29,73,178,45,155,68.00,29.00,21.00,1328.66,1691.02,4462.20,2688,Ssr,sandy clay loam,-0.34,-3.30,6.56,1.12,753.91,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
134,GMNT21,365.510528,10.01548125,154.284408,-0.900958976,100,0,0.54,10.91,751,257,114,145,28,72,178,45,155,68.00,28.30,22.00,1413.24,2589.47,5604.04,2688,Ssr,sandy loam,-0.34,-3.30,6.56,1.12,753.91,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
135,GMNT22,365.510528,10.01548125,154.284408,-0.900958976,100,0,0.54,10.91,751,257,114,145,28,72,178,45,155,68.00,28.30,22.00,1413.24,2589.47,5604.04,2688,Ssr, ,-0.34,-3.30,6.56,1.12,753.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,GRUB1,285.437316,2.816291563,26.488758,0.895021893,100,0,2.80,9.58,785,286,110,149,30,77,186,46,156,67.00,30.00,19.00,9972.70,8295.06,4923.08,2688,Ssr,silty clay loam,-0.12,3.21,4.60,-0.38,842.19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
137,GRUB2,286.494659,3.020345625,17.251279,0.955013325,100,0,2.87,11.78,785,286,110,149,30,77,186,46,156,67.00,30.00,19.91,10543.73,8207.58,4267.26,2688,Ssr,silty clay loam,-0.31,5.12,3.39,-1.57,842.16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
138,GRUB3,287.905853,3.736362813,358.470611,0.999643766,100,0,2.79,11.62,785,286,110,149,30,77,186,46,156,67.00,30.00,20.00,10882.33,8007.60,3621.27,2688,Ssr,silty clay loam,-0.31,5.12,3.39,-1.57,842.16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
139,GRUB4,287.905853,3.736362813,358.470611,0.999643766,100,0,2.79,11.62,785,286,110,149,30,77,186,46,156,67.00,30.00,20.00,10882.33,8007.60,3621.27,2688,Ssr,silty clay loam,-0.31,5.12,3.39,-1.57,842.16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
140,GRUB5,287.905853,3.736362813,358.470611,0.999643766,100,0,2.79,11.62,785,286,110,149,30,77,186,46,156,67.00,30.00,20.00,10882.33,8007.60,3621.27,2688,Ssr,sandy clay loam,-0.31,5.12,3.39,-1.57,842.16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
141,GGOR1,227.969177,19.9398475,76.200698,0.238521627,10,90,0.00,14.05,630,223,94,157,28,78,192,44,161,60.90,28.00,15.00,2140.86,1565.96,4756.23,2688,Ssr, ,-0.09,1.28,3.18,-0.11,675.13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,GGOR2,229.43608,33.971925,1.59347,0.999613291,10,85,0.00,6.95,620,219,93,157,28,79,193,44,161,60.82,28.00,15.00,5148.32,3667.40,1660.92,2688,Ssr, ,-0.05,1.25,3.11,-0.06,675.36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,GGOR3,223.068069,19.1934325,98.499992,-0.147809273,20,80,0.00,8.51,610,215,92,157,29,79,194,44,161,60.00,28.94,15.00,1079.62,1048.94,3722.37,2688,Ssr,loamy sand,-0.06,1.17,3.03,-0.07,670.06,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,GGOR4,217.702621,6.83923,54.149986,0.585665437,15,75,1.95,10.44,602,212,91,157,29,80,194,44,162,59.23,29.00,15.00,1903.48,2564.73,4429.79,2688,Ssr,loamy sand,-0.06,1.15,2.92,-0.07,663.20,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,GGOR5,214.347549,8.22401375,355.449951,0.996848418,20,65,0.87,9.66,598,210,91,157,29,80,194,44,162,59.00,29.00,14.43,6808.33,5569.14,2595.00,2688,Ssr,loamy sand,-0.04,1.47,2.91,-0.06,650.86,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,GGOR6,210.487701,9.054754375,345.354919,0.96751054,20,80,0.00,8.59,596,209,90,157,29,80,195,44,162,59.00,29.00,14.00,7234.22,6115.80,3196.98,2688,Ssr, ,0.03,2.20,2.98,0.07,651.05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,GGOR7,210.487701,9.054754375,345.354919,0.96751054,100,0,0.00,8.59,596,209,90,157,29,80,195,44,162,59.00,29.00,14.00,7234.22,6115.80,3196.98,2688,Ssr, ,0.03,2.20,2.98,0.07,651.05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,GROC1,299.067321,43.680235,29.499303,0.870361686,25,90,0.00,8.24,745,271,106,155,27,74,187,45,158,65.42,27.00,18.00,2015.51,1115.68,589.98,2688,Ssr,loamy sand,0.31,-0.84,-1.94,-0.26,408.60,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,GROC2,290.847167,43.91649,14.72691,0.967148464,15,80,0.00,8.69,743,270,105,155,27,75,187,45,158,65.00,27.47,18.00,3285.47,2064.41,955.36,2688,Ssr,sandy loam,0.22,-0.51,-1.75,-0.11,417.46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,GROC3,279.195709,24.450075,42.515838,0.737090558,5,90,0.00,7.35,731,266,104,155,28,76,189,45,158,65.00,27.84,17.72,1709.08,978.60,1507.82,2688,Ssr, ,0.22,-0.51,-1.75,-0.11,417.46,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,GROC4,272.474212,19.07929625,38.916961,0.778057221,5,95,0.00,7.57,726,265,103,155,28,76,189,45,158,65.00,28.00,17.65,1248.52,680.66,575.49,2688,Ssr, ,0.18,-0.04,-0.70,-0.01,446.00,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,GROC5,270.49533,12.74938875,52.292346,0.611632732,15,80,0.00,10.64,719,262,102,155,28,77,190,45,158,64.66,28.00,17.00,558.48,353.65,210.07,2688,Ssr,loamy sand,0.11,0.04,-0.22,0.00,442.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,GENH1,270.49533,12.74938875,52.292346,0.611632732,100,0,0.00,10.64,719,262,102,155,28,77,190,45,158,64.66,28.00,17.00,558.48,353.65,210.07,2688,Ssr,loamy sand,0.11,0.04,-0.22,0.00,442.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,GENH2,267.362213,6.96567625,257.172637,-0.222014179,100,0,0.00,8.51,770,280,108,148,31,78,186,46,156,66.00,31.00,19.00,3574.90,6216.59,8471.68,3417,Qrcp,loamy sand,0.08,4.25,2.75,0.32,783.59,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,GENH3,264.551239,6.6942425,258.012603,-0.207696529,100,0,0.57,9.93,769,279,107,148,31,78,186,46,156,66.00,31.00,19.00,3636.22,6267.69,8479.23,3417,Qrcp,loamy sand,0.30,2.17,3.60,0.64,772.33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
